"RecordIDS","AverageConsistency","Latitude-Consistency","Latitude-Values","Country-Consistency","Country-Values","Magnitude-Consistency","Magnitude-Values","Depth-Consistency","Depth-Values","Time-Consistency","Time-Values","Date-Consistency","Date-Values","TotalDamages-Consistency","TotalDamages-Values","Longitude-Consistency","Longitude-Values","Deaths-Consistency","Deaths-Values"
"File1_5282+File2_17570","1.0","1.0","{40.634|40.634}","1.0","{ETHIOPIA|ETHIOPIA}","1.0","{5.6|5.5}","1.0","{12.0|11.8}","1.0","{19:24:02|19:24:03}","1.0","{2005-09-24|2005-09-24}",,,"1.0","{12.471|12.471}",,
"File1_5050+File2_15810","0.8571428571428571","1.0","{144.619|144.619}","0.0","{USA TERRITORY|GUAM}","1.0","{7.1|7.1}","1.0","{86.0|85.7}","1.0","{16:06:07|16:06:07}","1.0","{2002-04-26|2002-04-26}",,,"1.0","{13.088|13.088}",,
"File1_4386+File2_6140+File3_0404","1.0","1.0","{142.361|142.361|142.361}","1.0","{JAPAN|JAPAN|JAPAN}","1.0","{6.7|6.7|7.0}","1.0","{44.0|44.0}","1.0","{02:32:07|02:32:08|02:32}","1.0","{1982-03-21|1982-03-21|1982-03-21}","1.0","{1.0}","1.0","{42.158|42.158|42.158}","1.0","{110.0}"
"File1_5341+File2_18073+File3_0993","0.8333333333333333","1.0","{-155.935|-155.935|-155.935}","0.6666666666666666","{USA|UNITED STATES|UNITED STATES}","1.0","{6.7|6.7|7.0}","1.0","{39.0|38.9}","1.0","{17:07:49|17:07:49}","1.0","{2006-10-15|2006-10-15|2006-10-15}","0.0","{73.0|150.0}","1.0","{19.878|19.878|19.878}",,
"File1_4351+File2_5696","0.8571428571428571","1.0","{-124.253|-124.253}","0.0","{USA|UNITED STATES}","1.0","{7.2|7.2}","1.0","{19.0|19.0}","1.0","{10:27:34|10:27:34}","1.0","{1980-11-08|1980-11-08}",,,"1.0","{41.117|41.117}",,
"File2_0469+File3_0239","1.0","1.0","{80.935|80.935}","1.0","{NEPAL|NEPAL}","1.0","{6.3|6.0}","1.0","{25.0}","1.0","{10:59:19|10:59}","1.0","{1966-06-27|1966-06-27}","1.0","{1.0}","1.0","{29.706|29.706}","1.0","{80.0}"
"File1_4635+File2_9717","0.875","1.0","{57.718|57.718}","0.0","{IRAN|IRAN, ISLAMIC REPUBLIC OF}","1.0","{5.9|5.9}","1.0","{18.0|18.4}","1.0","{04:19:04|04:19:05}","1.0","{1989-11-20|1989-11-20}",,,"1.0","{29.892|29.892}","1.0","{3.0}"
"File1_4916+File2_14029","1.0","1.0","{35.307|35.307}","1.0","{TURKEY|TURKEY}","1.0","{6.3|6.3}","1.0","{33.0|33.0}","1.0","{13:55:52|13:55:52}","1.0","{1998-06-27|1998-06-27}","1.0","{550.0}","1.0","{36.878|36.878}","1.0","{145.0}"
"File1_4101+File2_2285+File3_0268","0.8518518518518517","1.0","{52.8|52.765|52.765}","0.6666666666666666","{IRAN|IRAN, ISLAMIC REPUBLIC OF|IRAN, ISLAMIC REPUBLIC OF}","1.0","{6.9|6.6|7.0}","1.0","{11.0|10.0}","1.0","{02:06:53|02:06:51|02:06}","1.0","{1972-04-10|1972-04-10|1972-04-10}","1.0","{1.0}","1.0","{28.4|28.415|28.415}","0.0","{30000.0|5057.0}"
"File1_4357+File1_4358+File2_5762+File2_5763+File2_5764+File2_5765+File2_5767+File3_0392","0.6607142857142857","0.625","{142.75|139.232|142.75|142.82|142.75|142.877|139.232|139.232}","0.625","{JAPAN|INDONESIA|JAPAN|JAPAN|JAPAN|JAPAN|INDONESIA|INDONESIA}","0.75","{6.9|6.7|7.0|6.2|6.9|6.1|6.7|7.0}","1.0","{33.0|33.0|33.0|33.0|33.0|33.0|33.0}","0.5","{18:17:24|15:11:01|18:11:28|18:11:28|18:17:24|01:14:05|15:11:01|13:11}","0.5","{1981-01-18|1981-01-19|1981-01-18|1981-01-18|1981-01-18|1981-01-19|1981-01-19|1981-01-19}",,,"0.625","{38.64|-4.576|38.64|38.58|38.64|38.599|-4.576|-4.576}",,
